threshold,percentage,n_selected,hits,hit_rate,enrichment_factor,max_possible_ef,normalized_ef
EF_0.1%,0.1,249,108,0.43373493975903615,43.36863614457832,99.9888,0.4337349397590362
EF_0.5%,0.5,1249,354,0.28342674139311447,28.339499759807847,99.9888,0.2834267413931145
EF_1%,1.0,2499,577,0.2308923569427771,23.086649699879953,99.9888,0.23089235694277713
EF_2%,2.0,4999,888,0.17763552710542108,17.761563192638526,50.004400880176036,0.35519999999999996
EF_5%,5.0,12498,1369,0.10953752600416067,10.952525780124821,20.000960153624582,0.5476
EF_10%,10.0,24997,1749,0.0699683962075449,6.996055974716966,10.000080009601152,0.6996
EF_20%,20.0,49994,2081,0.04162499499939993,4.162033299996,5.000040004800576,0.8324
