smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type,admet_solubility,admet_solubility_source,admet_lipophilicity,admet_lipophilicity_source,admet_clearance_hepatocyte,admet_clearance_hepatocyte_source,admet_clearance_microsome,admet_clearance_microsome_source,admet_herg,admet_herg_source,admet_ames,admet_ames_source,admet_bbb,admet_bbb_source,admet_caco2,admet_caco2_source,admet_ppbr,admet_ppbr_source
Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,CHEMBL950312,IC50,5.89,CHEMBL406917,2008,CHEMBL1144029,J Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in Saccharomyces cerevisiae by fluorescence assay,13,0,c1ccc(CSc2nnc(-c3ccncc3)n2-c2ccccc2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CC(C)(C)C[C@]1(c2ccccc2)CCN([C@@H](C)c2ccc(-c3ccc(=O)[nH]c3)cc2)C(=O)O1,CHEMBL3705120,IC50,5.22,CHEMBL3664719,2013,CHEMBL3638974,,BindingDB Patent Bioactivity Data,Biological Assay Example 6: The assay was based on a method published by Moody et al. (Xenobiotica 1999). The inhibition of cytochrome P450 3A4-isoenzyme catalysed N-demethylation of [N-methyl-14C]-Erythromycin by the test compound was assayed at 37° C with human recombinant cytochrome P450 3A4.,59,1,O=C1OC(c2ccccc2)CCN1Cc1ccc(-c2ccc(=O)[nH]c2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCC(Oc1c(N)ncc2c(-c3cnn(C4CCNCC4)c3)coc12)c1c(Cl)ccc(F)c1Cl,CHEMBL2406496,IC50,5.8,CHEMBL2401818,2013,CHEMBL2401646,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CP3A4 (unknown origin),59,2,c1ccc(COc2cncc3c(-c4cnn(C5CCNCC5)c4)coc23)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCCCCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,CHEMBL5056413,IC50,4.73,CHEMBL5094058,2021,CHEMBL5055639,J Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in insect microsome using 7-benzyloxy-4-trifluoromethylcoumarin as a substrate incubated for 30 mins followed by addition of NADPH regenerating system measured immediately by fluorescence based analysis,117,3,c1ncc2nc[nH]c2n1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,CHEMBL5056413,IC50,4.26,CHEMBL5094673,2021,CHEMBL5055639,J Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in insect microsome using 7-benzyloxy-4-trifluoromethylcoumarin as a substrate incubated for 30 mins followed by addition of NADPH regenerating system measured immediately by fluorescence based analysis,117,3,c1ncc2nc[nH]c2n1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCN(C)c1nc2ccc(C(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,CHEMBL2060578,IC50,7.52,CHEMBL2057792,2012,CHEMBL2057069,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by LC/MS/MS analysis,46,4,O=C(NC(CCNC(=O)c1ccc2ncoc2c1)Cc1ccccc1)OCc1cncs1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(N3CCCC3)oc2c1,CHEMBL2060578,IC50,7.4,CHEMBL2057524,2012,CHEMBL2057069,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by LC/MS/MS analysis,46,4,O=C(NC(CCNC(=O)c1ccc2nc(N3CCCC3)oc2c1)Cc1ccccc1)OCc1cncs1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCNc1nc2ccc(C(=O)N(CC#C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,CHEMBL2060578,IC50,7.42,CHEMBL2057787,2012,CHEMBL2057069,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by LC/MS/MS analysis,46,4,O=C(NC(CCNC(=O)c1ccc2ncoc2c1)Cc1ccccc1)OCc1cncs1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,CHEMBL4343471,IC50,4.57,CHEMBL4560579,2020,CHEMBL4342420,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),113,5,O=C(Nc1cccc(C2N=CSC3CC32)c1)c1cnccn1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@@H](N5CCN(C(=O)[C@@H]6CCCN6C(=O)c6ccc7ccccc7n6)CC5)C[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL3382600,IC50,5.42,CHEMBL3344121,2014,CHEMBL3351452,Bioorg Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin) using AMMC by fluorescence assay,67,6,O=C(C1CCCN1C(=O)c1ccc2ccccc2n1)N1CCN(C2CCC3CCC4C5CCCC5CCC4C3C2)CC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#Cc1c(Oc2ccc(NC(=O)NC(=O)Cc3ccc(F)cc3)cc2F)ccnc1N,CHEMBL953406,IC50,6.1,CHEMBL502531,2008,CHEMBL1150388,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human CYP3A4,14,7,O=C(Cc1ccccc1)NC(=O)Nc1ccc(Oc2ccncc2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#Cc1ccc(C[C@H](NC(=O)COC)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)cc1,CHEMBL2187053,IC50,7.0,CHEMBL2181899,2012,CHEMBL2176959,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by HPLC-MS analysis,46,8,c1ccc(CCCCNC2CC3(CCC3)Oc3ncccc32)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#Cc1cccc(C[C@H](NC(=O)COC)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,CHEMBL2187053,IC50,7.52,CHEMBL2181896,2012,CHEMBL2176959,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by HPLC-MS analysis,46,8,c1ccc(CCCCNC2CC3(CCC3)Oc3ncccc32)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)CCC)c3F)c2c1,CHEMBL3880170,IC50,5.3,CHEMBL3948349,2012,CHEMBL3879902,,SureChEMBL Patent Bioactivity Data,Inhibition of CYP3A4 (unknown origin) using BQ as substrate after 30 mins,46,9,O=C(c1ccccc1)c1c[nH]c2ncccc12,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNC1CCOCC1,CHEMBL4059171,IC50,5.11,CHEMBL4075205,2018,CHEMBL4052827,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),104,10,C(=CCN(CC1Cc2ccccc2CN1)C1CCCc2cccnc21)CNC1CCOCC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCc1ccccn1,CHEMBL4059171,IC50,5.81,CHEMBL4081958,2018,CHEMBL4052827,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),104,10,C(=CCN(CC1Cc2ccccc2CN1)C1CCCc2cccnc21)CNCc1ccccn1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCc1cccnc1,CHEMBL4059171,IC50,5.9,CHEMBL4066459,2018,CHEMBL4052827,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),104,10,C(=CCN(CC1Cc2ccccc2CN1)C1CCCc2cccnc21)CNCc1cccnc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCc1ccncc1,CHEMBL4059171,IC50,6.46,CHEMBL4090772,2018,CHEMBL4052827,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),104,10,C(=CCN(CC1Cc2ccccc2CN1)C1CCCc2cccnc21)CNCc1ccncc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(=C\COc1c2ccoc2cc2oc(=O)ccc12)CC[C@@H](O)C(C)(C)O,CHEMBL1108441,IC50,5.8,CHEMBL1079119,2009,CHEMBL1154233,J Nat Prod,Scientific Literature,Inhibition of CYP3A4 after 30 mins by fluorescence microplate reader assay,23,11,O=c1ccc2cc3ccoc3cc2o1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(=C\COc1c2ccoc2cc2oc(=O)ccc12)CC[C@@H](O)C(C)(C)O,CHEMBL1959198,IC50,6.09,CHEMBL1079119,2012,CHEMBL1955821,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 after 30 mins by fluorescence assay,46,12,O=c1ccc2cc3ccoc3cc2o1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(=C\COc1ccc2ccc(=O)oc2c1)C/C=C/C(C)C,CHEMBL893902,IC50,4.37,CHEMBL241896,2007,CHEMBL1147952,Bioorg Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4,8,13,O=c1ccc2ccccc2o1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,CHEMBL3108397,IC50,5.58,CHEMBL3104250,2013,CHEMBL3102716,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),59,14,O=C(NN=Cc1ccccc1)c1cccc(S(=O)(=O)N2CCOCC2)c1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(/F)CN,CHEMBL4144852,IC50,5.75,CHEMBL4169450,2018,CHEMBL4138298,ACS Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 (unknown origin) using BFC as substrate,104,15,c1ccc2c(c1)CNC(CNC1CCCc3cccnc31)C2,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(\F)CN,CHEMBL4144852,IC50,4.89,CHEMBL4174727,2018,CHEMBL4138298,ACS Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 (unknown origin) using BFC as substrate,104,15,c1ccc2c(c1)CNC(CNC1CCCc3cccnc31)C2,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(CN)=C(/F)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,CHEMBL4144852,IC50,5.62,CHEMBL4175500,2018,CHEMBL4138298,ACS Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 (unknown origin) using BFC as substrate,104,15,c1ccc2c(c1)CNC(CNC1CCCc3cccnc31)C2,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C(CN)=C(\F)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,CHEMBL4144852,IC50,4.82,CHEMBL4161528,2018,CHEMBL4138298,ACS Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 (unknown origin) using BFC as substrate,104,15,c1ccc2c(c1)CNC(CNC1CCCc3cccnc31)C2,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C1=C\CC(C)(C)/C=C/C(=O)/C(C)=C/CC1,CHEMBL1000805,IC50,4.66,CHEMBL245412,2004,CHEMBL1151241,J Nat Prod,Scientific Literature,Inhibition of human CYP3A4 by radiometric assay,3,16,O=C1C=CCCC=CCCC=C1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C1=C\CC(C)(C)/C=C/C(=O)/C(C)=C/[C@H](O)C1,CHEMBL1000805,IC50,4.45,CHEMBL469850,2004,CHEMBL1151241,J Nat Prod,Scientific Literature,Inhibition of human CYP3A4 by radiometric assay,3,16,O=C1C=CCCC=CCCC=C1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C1=C\CC[C@@]2(C)O[C@@H]2CC(C)(C)/C=C/C1=O,CHEMBL1000805,IC50,4.32,CHEMBL512339,2004,CHEMBL1151241,J Nat Prod,Scientific Literature,Inhibition of human CYP3A4 by radiometric assay,3,16,O=C1C=CCCC2OC2CCC=C1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C1=C\[C@H](O)C[C@@]2(C)O[C@@H]2CC(C)(C)/C=C/C1=O,CHEMBL1000805,IC50,4.2,CHEMBL503727,2004,CHEMBL1151241,J Nat Prod,Scientific Literature,Inhibition of human CYP3A4 by radiometric assay,3,16,O=C1C=CCCC2OC2CCC=C1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C1=C\[C@H](O)C[C@]2(C)O[C@@H]2CC(C)(C)/C=C/C1=O,CHEMBL1000805,IC50,4.37,CHEMBL513372,2004,CHEMBL1151241,J Nat Prod,Scientific Literature,Inhibition of human CYP3A4 by radiometric assay,3,16,O=C1C=CCCC2OC2CCC=C1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL1216220,IC50,5.18,CHEMBL160,2010,CHEMBL1212786,Antimicrob Agents Chemother,Scientific Literature,Inhibition of human recombinant CYP3A4 after 30 mins,31,17,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL3531035,IC50,5.69,CHEMBL160,2012,CHEMBL3526092,Drug Metab Dispos,Scientific Literature,Inhibition of human CYP3A4 expressed in supersomes assessed inhibition of 1'-OH midazolam formation after 7.5 mins by LC-MS method,46,18,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL3531036,IC50,5.84,CHEMBL160,2012,CHEMBL3526092,Drug Metab Dispos,Scientific Literature,Inhibition of human CYP3A4 expressed in supersomes assessed inhibition of 1'-OH midazolam formation preincubated for 15 mins before substrate addition by LC-MS method,46,19,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL664809,IC50,5.19,CHEMBL160,2003,CHEMBL1136781,J Med Chem,Scientific Literature,Inhibition of human cytochrome P450 3A4,1,20,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL1216220,IC50,4.23,CHEMBL1269597,2010,CHEMBL1212786,Antimicrob Agents Chemother,Scientific Literature,Inhibition of human recombinant CYP3A4 after 30 mins,31,17,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C/C=C/c1cc(OC)c(OC)cc1OC,CHEMBL970953,IC50,4.04,CHEMBL333306,2005,CHEMBL1158685,J Nat Prod,Scientific Literature,Inhibition of human liver microsome CYP3A4 in assessed as [14C]formaldehyde formation,5,21,c1ccccc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,1.0,tdc_measured,,missing,,missing,,missing
C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,CHEMBL958150,IC50,5.41,CHEMBL452864,2008,CHEMBL1151747,J Med Chem,Scientific Literature,Inhibition of CYP3A4,14,22,C1=C(CSC(=NC2CCCCC2)NC2CCCCC2)N2CCN=C2S1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,CHEMBL2183775,IC50,6.43,CHEMBL2181331,2011,CHEMBL2176955,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes assessed as decrease in formation of 1-hydroxymidazolam from midazolam substrate after 5 mins by LC-MS/MS,39,23,C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C=CC(=O)N1CC2(CC(n3nc(-c4ccc5c(cnn5C)c4)c(-c4c(Cl)c(C)cc5[nH]ncc45)c3C)C2)C1,CHEMBL5238519,IC50,5.21,CHEMBL5077861,2022,CHEMBL5236595,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate incubated for 10 to 30 mins in presence of NADPH by LC-MS/MS method,122,24,c1cc(-c2cn(C3CC4(CNC4)C3)nc2-c2ccc3[nH]ncc3c2)c2cn[nH]c2c1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C=CC(=O)N1CCC(Cn2cc(-c3ccc4c(c3)OCO4)c3c(N)ncnc32)CC1,CHEMBL4720198,IC50,5.5,CHEMBL4755698,2018,CHEMBL4715815,Eur J Med Chem,Scientific Literature,Inhibition of human liver microsome CYP3A4 using dextromethorphan as substrate incubated for 5 mins followed by NADPH addition and further incubated for 10 mins in shaking water bath by LC-MS/MS analysis,104,25,c1ncc2c(-c3ccc4c(c3)OCO4)cn(CC3CCNCC3)c2n1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4cc(OC)c(C)c(OC)c4)nn32)CC1,CHEMBL5251962,IC50,4.8,CHEMBL5276374,2023,CHEMBL5247657,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in pooled human liver microsomes using midazolam as substrate assessed as reduction in OH-midazolam metabolite formation by LC-MS/MS analysis,127,26,c1ccc(-c2cc3n(n2)C(C2CCNCC2)CCN3)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4cc(OC)c(C)c(OC)c4)nn32)CC1,CHEMBL5251963,IC50,4.25,CHEMBL5276374,2023,CHEMBL5247657,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in pooled human liver microsomes using testosterone as substrate assessed as reduction in 6-OH-testosterone metabolite formation by LC-MS/MS analysis,127,27,c1ccc(-c2cc3n(n2)C(C2CCNCC2)CCN3)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,CHEMBL4414951,IC50,4.84,CHEMBL3936761,2019,CHEMBL4414549,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes at 1 uM using midazolam as substrate by LC-MS/MS analysis,109,28,c1ccc(Oc2ccc(-c3cc4n(n3)C(C3CCNCC3)CCN4)cc2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,CHEMBL4414952,IC50,4.22,CHEMBL3936761,2019,CHEMBL4414549,J Med Chem,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes at 1 uM using testosterone as substrate by LC-MS/MS analysis,109,29,c1ccc(Oc2ccc(-c3cc4n(n3)C(C3CCNCC3)CCN4)cc2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cccc(C)c32)C1,CHEMBL3860379,IC50,5.46,CHEMBL3972316,2016,CHEMBL3860038,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),90,30,O=C(Nc1nc2ccccc2n1C1CCCCNC1)c1ccccc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
