smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type,admet_solubility,admet_solubility_source,admet_lipophilicity,admet_lipophilicity_source,admet_clearance_hepatocyte,admet_clearance_hepatocyte_source,admet_clearance_microsome,admet_clearance_microsome_source,admet_herg,admet_herg_source,admet_ames,admet_ames_source,admet_bbb,admet_bbb_source,admet_caco2,admet_caco2_source,admet_ppbr,admet_ppbr_source
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2CNCCO2)cc1F,CHEMBL4009748,IC50,4.7,CHEMBL4089010,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCC2CNCCO2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCCC2CCCCN2)cc1F,CHEMBL4009748,IC50,4.7,CHEMBL4076444,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCCC2CCCCN2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCCC2CCCNC2)cc1F,CHEMBL4009748,IC50,5.17,CHEMBL4078252,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCCC2CCCNC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCCC2CCNC2)cc1F,CHEMBL4009748,IC50,4.7,CHEMBL4071098,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCCC2CCNC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCCC2CCNCC2)cc1F,CHEMBL4009748,IC50,4.7,CHEMBL4096299,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCCC2CCNCC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCCC2CNC2)cc1F,CHEMBL4009748,IC50,4.7,CHEMBL4103940,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCCC2CNC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@@H]2CCCN(O)C2)cc1F,CHEMBL4009748,IC50,4.77,CHEMBL4072107,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCC2CCCNC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@@H]2CCCNC2)cc1F,CHEMBL4009748,IC50,4.7,CHEMBL4062380,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,103,641,O=S(=O)(Nc1nccs1)c1ccc(NCC2CCCNC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CCCN(O)C2)cc1F,CHEMBL4009748,IC50,5.1,CHEMBL4096711,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,104,641,O=S(=O)(Nc1nccs1)c1ccc(NCC2CCCNC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CCCNC2)cc1F,CHEMBL4009748,IC50,4.7,CHEMBL4085278,2017,CHEMBL4007444,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 assessed as inhibition of dealkylation,104,641,O=S(=O)(Nc1nccs1)c1ccc(NCC2CCCNC2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
