smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type
Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(c1ccccc1)c1ccccc1,CHEMBL662831,Ki,3.6197887582883936,CHEMBL122601,1997,CHEMBL1130400,J Med Chem,Scientific Literature,In vitro inhibitory activity against Coagulation factor X,1,114,O=C(NCc1cccnc1)C1CCCN1C(=O)CC(c1ccccc1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](NC(=O)OC(C)(C)C)C(C1CCCCC1)C1CCCCC1,CHEMBL662831,Ki,4.8,CHEMBL123142,1997,CHEMBL1130400,J Med Chem,Scientific Literature,In vitro inhibitory activity against Coagulation factor X,1,114,O=C(NCc1cccnc1)C1CCCN1C(=O)CC(C1CCCCC1)C1CCCCC1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N)nc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@H](NC(=O)OC(C)(C)C)C(c1ccccc1)c1ccccc1,CHEMBL662831,Ki,3.795880017344075,CHEMBL337923,1997,CHEMBL1130400,J Med Chem,Scientific Literature,In vitro inhibitory activity against Coagulation factor X,1,114,O=C(NCc1cccnc1)C1CCCN1C(=O)CC(c1ccccc1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2CCC(COc3ccc4c(c3)CN(C(=N)N)CC4)(C(=O)O)CC2)ccn1,CHEMBL827049,IC50,6.64,CHEMBL537188,2005,CHEMBL1139513,J Med Chem,Scientific Literature,Inhibitory concentration against human Coagulation factor X,57,30,c1cc(N2CCC(COc3ccc4c(c3)CNCC4)CC2)ccn1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2CCC(N(C)C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC2)cc(C)n1,CHEMBL931789,IC50,7.2,CHEMBL272783,2008,CHEMBL1142289,Bioorg Med Chem,Scientific Literature,Inhibition of human factor 10a,80,53,O=C(CCS(=O)(=O)c1ccc2ccccc2c1)NC1CCN(c2ccncc2)CC1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2CCC(N(C)C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC2)ccn1,CHEMBL923682,IC50,7.21,CHEMBL261646,2008,CHEMBL1143896,Bioorg Med Chem,Scientific Literature,Inhibition of human factor 10a,80,52,O=C(CCS(=O)(=O)c1ccc2ccccc2c1)NC1CCN(c2ccncc2)CC1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2CCC(N(C)C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC2)ccn1,CHEMBL931789,IC50,7.21,CHEMBL261646,2008,CHEMBL1142289,Bioorg Med Chem,Scientific Literature,Inhibition of human factor 10a,80,53,O=C(CCS(=O)(=O)c1ccc2ccccc2c1)NC1CCN(c2ccncc2)CC1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2CCC(N(C)C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC2)ccn1,CHEMBL931789,Ki,7.82,CHEMBL261646,2008,CHEMBL1142289,Bioorg Med Chem,Scientific Literature,Inhibition of human factor 10a,80,53,O=C(CCS(=O)(=O)c1ccc2ccccc2c1)NC1CCN(c2ccncc2)CC1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2CCOCC2)ccc1N1C[C@H](CNC(=O)c2ccc(Cl)s2)OC1=O,CHEMBL3705525,IC50,5.9,CHEMBL196589,2014,CHEMBL3638623,,BindingDB Patent Bioactivity Data,"Enzyme Inhibition Assay: The enzymatic activity of human factor Xa (FXa) was measured using the conversion of a chromogenic substrate specific for FXa. Factor Xa cleaves p-nitroaniline from the chromogenic substrate. The determinations were carried out in microtitre plates as follows.The test substances, in various concentrations, were dissolved in DMSO and incubated at 25 C. with human FXa (0.5 nmol/l dissolved in 50 mmol/l of tris buffer [C,C,C-tris(hydroxymethyl)-aminomethane], 150 mmol/l of NaCl, 0.1% BSA (bovine serum albumin), pH=8.3) for 10 minutes. Pure DMSO was used as control. The chromogenic substrate (150 umol 11 of Pefachrome FXa from Pentapharm) was then added. After an incubation time of 20 minutes at 25 C., the extinction at 405 nm was determined.",111,63,O=C(NCC1CN(c2ccc(N3CCOCC3)cc2)C(=O)O1)c1cccs1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
Cc1cc(N2CCOCC2)ccc1N1C[C@H](CNC(=O)c2ccc(Cl)s2)OC1=O,CHEMBL880442,IC50,5.9,CHEMBL196589,2005,CHEMBL1140410,J Med Chem,Scientific Literature,In vitro inhibition of human coagulation factor Xa after incubation for 10 min at 25 degree C,57,271,O=C(NCC1CN(c2ccc(N3CCOCC3)cc2)C(=O)O1)c1cccs1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
