program_name,target,n_compounds,n_records,n_rounds,n_assays,year_range,pActivity_mean,pActivity_std,n_scaffolds,validation
FXa,CHEMBL244,5925,6709,128,445,1992-2023,7.069698268673658,1.599993632588995,2300,"{'scaffold_slope': np.float64(0.021785158395898185), 'scaffold_converges': np.False_, 'activity_slope': np.float64(-0.0023454094613168815), 'activity_improves': np.False_, 'variance_slope': np.float64(-0.000807527616754754), 'variance_reduces': np.True_, 'realism_score': np.float64(0.3333333333333333), 'passes_validation': np.False_, 'program': 'FXa'}"
DRD2,CHEMBL217,7740,10179,160,1005,1985-2024,6.843529302021305,1.1092690202756819,3222,"{'scaffold_slope': np.float64(0.058282550099613264), 'scaffold_converges': np.False_, 'activity_slope': np.float64(0.0008027160905878307), 'activity_improves': np.True_, 'variance_slope': np.float64(0.0005912971035637145), 'variance_reduces': np.False_, 'realism_score': np.float64(0.3333333333333333), 'passes_validation': np.False_, 'program': 'DRD2'}"
hERG,CHEMBL240,8360,9682,120,1713,1995-2024,5.422942259805762,0.9864501809351839,4384,"{'scaffold_slope': np.float64(0.03840197235919144), 'scaffold_converges': np.False_, 'activity_slope': np.float64(-0.0026334966852795644), 'activity_improves': np.False_, 'variance_slope': np.float64(-0.002592006993477389), 'variance_reduces': np.True_, 'realism_score': np.float64(0.3333333333333333), 'passes_validation': np.False_, 'program': 'hERG'}"
EGFR,CHEMBL203,8008,13721,144,1690,1989-2024,6.957802401168029,1.418332413623608,2794,"{'scaffold_slope': np.float64(0.0016397395707740468), 'scaffold_converges': np.False_, 'activity_slope': np.float64(0.009049916345819014), 'activity_improves': np.True_, 'variance_slope': np.float64(-0.0007424722683771976), 'variance_reduces': np.True_, 'realism_score': np.float64(0.6666666666666666), 'passes_validation': np.True_, 'program': 'EGFR'}"
CYP3A4,CHEMBL340,4880,5835,132,1402,1992-2024,5.447540820000089,0.9472906755187711,2662,"{'scaffold_slope': np.float64(0.024053889059915467), 'scaffold_converges': np.False_, 'activity_slope': np.float64(-0.0006672335572340412), 'activity_improves': np.False_, 'variance_slope': np.float64(-0.0008633002843845002), 'variance_reduces': np.True_, 'realism_score': np.float64(0.3333333333333333), 'passes_validation': np.False_, 'program': 'CYP3A4'}"
